epoch,class_id,action,adjustment_count,before_status,after_status,dominant_issue
5,4,observe,0,inactive,inactive,low_recall
10,11,observe,0,inactive,inactive,low_contrast_fn
25,12,observe,0,inactive,inactive,weak_localization
35,12,observe,0,inactive,inactive,weak_localization
