epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,11,accept,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
5,11,accept,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
5,11,accept,local_contrast,prob,0.0,0.015,texture_boundary_weak,
5,11,accept,local_contrast,strength,0.0,0.02,texture_boundary_weak,
5,4,accept,sharpen_mild,prob,0.0,0.005,low_recall_domain_prior,
5,4,accept,sharpen_mild,strength,0.0,0.01,low_recall_domain_prior,
5,4,accept,local_contrast,prob,0.0,0.005,low_recall_domain_prior,
5,4,accept,local_contrast,strength,0.0,0.01,low_recall_domain_prior,
10,,rollback,,,,,,global_precision_guard
15,12,accept,sharpen_mild,prob,0.0,0.015,weak_localization,
15,12,accept,sharpen_mild,strength,0.0,0.02,weak_localization,
15,12,accept,local_contrast,prob,0.0,0.015,weak_localization,
15,12,accept,local_contrast,strength,0.0,0.02,weak_localization,
20,,shrink,,,,,,"global_precision_guard,global_map95_guard"
25,,shrink,,,,,,"global_map50_guard,global_map95_guard"
30,,observe,,,,,,
35,,observe,,,,,,
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
