epoch,class_id,action,adjustment_count,before_status,after_status,dominant_issue
5,11,observe,0,inactive,inactive,texture_boundary_weak
5,4,observe,0,inactive,inactive,low_recall
15,12,observe,0,inactive,inactive,low_contrast_fn
35,11,observe,0,inactive,inactive,low_contrast_fn
35,12,observe,0,inactive,inactive,texture_boundary_weak
