class_id,name,instances,is_fixed_aug_class,is_weak_active_class,non_active_under_weak,clean_precision,clean_recall,clean_ap50,clean_ap50_95,clean_tp_est,clean_fp_est,clean_fn_est,fixed_precision,fixed_recall,fixed_ap50,fixed_ap50_95,fixed_tp_est,fixed_fp_est,fixed_fn_est,weak_precision,weak_recall,weak_ap50,weak_ap50_95,weak_tp_est,weak_fp_est,weak_fn_est,delta_fixed_vs_clean_precision,delta_weak_vs_clean_precision,delta_weak_vs_fixed_precision,delta_fixed_vs_clean_recall,delta_weak_vs_clean_recall,delta_weak_vs_fixed_recall,delta_fixed_vs_clean_ap50,delta_weak_vs_clean_ap50,delta_weak_vs_fixed_ap50,delta_fixed_vs_clean_ap50_95,delta_weak_vs_clean_ap50_95,delta_weak_vs_fixed_ap50_95,delta_fixed_vs_clean_tp_est,delta_weak_vs_clean_tp_est,delta_weak_vs_fixed_tp_est,delta_fixed_vs_clean_fp_est,delta_weak_vs_clean_fp_est,delta_weak_vs_fixed_fp_est,delta_fixed_vs_clean_fn_est,delta_weak_vs_clean_fn_est,delta_weak_vs_fixed_fn_est,recall_up_precision_down_vs_clean,ap50_drop_gt_0_01_vs_clean,ap50_95_drop_gt_0_01_vs_clean,precision_drop_rank_key,fp_increase_rank_key
0,OK2,64,False,False,True,0.9215084289014884,0.984375,0.9926504481434059,0.8174729135139188,63.0,5.3661679308794,1.0,0.8934778845328463,0.984375,0.9926948590381427,0.8524781407016506,63.0,7.51097860462373,1.0,0.8697541607550191,0.96875,0.9891203007518797,0.8406529087765209,62.0,9.284510954427434,2.0,-0.028030544368642163,-0.05175426814646933,-0.023723723777827166,0.0,-0.015625,-0.015625,4.4410894736834905e-05,-0.0035301473915261283,-0.0035745582862629632,0.0350052271877318,0.02317999526260206,-0.011825231925129742,0.0,-1.0,-1.0,2.14481067374433,3.918343023548034,1.7735323498037037,0.0,1.0,1.0,False,False,False,-0.05175426814646933,1.7735323498037037
1,OK3,274,False,False,True,0.9905636740214353,0.9671532846715328,0.9941601271104293,0.830283416862839,265.0,2.524447897597304,9.0,0.988818453665345,0.9682481285183162,0.9942608098831963,0.827225390766808,265.29998721401864,3.0000088374371234,8.700012785981357,0.9852344271694342,0.9740903613024697,0.9944170239791045,0.834251978805654,266.90075899687673,4.000004960062105,7.099241003123268,-0.0017452203560902602,-0.0053292468520010905,-0.0035840264959108303,0.0010948438467833776,0.0069370766309369,0.005842232784153523,0.00010068277276698012,0.0002568968686751383,0.00015621409590815816,-0.003058026096031008,0.00396856194281503,0.007026588038846038,0.2999872140186426,1.900758996876732,1.6007717828580894,0.4755609398398195,1.4755570624648011,0.9999961226249816,-0.2999872140186426,-1.900758996876732,-1.6007717828580894,True,False,False,-0.0053292468520010905,0.9999961226249816
2,加强筋打伤,8,False,False,True,0.8933318722979623,0.875,0.948846153846154,0.5755481172161173,7.0,0.8358337109293437,1.0,0.9300351579943469,0.625,0.8873863636363638,0.4622240920483026,5.0,0.37614084480706467,3.0,0.8870341651833845,0.875,0.948846153846154,0.5671527392607393,7.0,0.8914660502990064,1.0,0.03670328569638459,-0.006297707114577777,-0.04300099281096237,-0.25,0.0,0.25,-0.0614597902097902,0.0,0.0614597902097902,-0.1133240251678147,-0.008395377955378036,0.10492864721243667,-2.0,0.0,2.0,-0.459692866122279,0.05563233936966272,0.5153252054919417,2.0,0.0,-2.0,False,False,False,-0.006297707114577777,0.5153252054919417
3,开裂,2,False,False,True,0.5709133146518821,1.0,0.6633333333333333,0.4643333333333334,2.0,1.5031587960415886,0.0,0.5965973561067316,1.0,0.6633333333333333,0.5306666666666666,2.0,1.3523447255140013,0.0,0.3432110850430834,1.0,0.4975,0.3608181818181818,2.0,3.8273176105280493,0.0,0.025684041454849482,-0.2277022296087987,-0.2533862710636482,0.0,0.0,0.0,0.0,-0.16583333333333333,-0.16583333333333333,0.06633333333333324,-0.10351515151515156,-0.1698484848484848,0.0,0.0,0.0,-0.15081407052758733,2.3241588144864607,2.474972885014048,0.0,0.0,0.0,False,True,True,-0.2277022296087987,2.474972885014048
4,油污,18,True,False,True,0.5590081918106473,0.2777777777777778,0.292380328413851,0.189223039952377,5.0,3.9444127532457496,13.0,0.37494140147801885,0.3333333333333333,0.35795826058590285,0.23362268848337306,6.0,10.002500594354219,12.0,0.3074420919776595,0.2222222222222222,0.22578118010811388,0.1530854104930305,4.0,9.010580217788341,14.0,-0.18406679033262846,-0.25156609983298783,-0.06749930950035937,0.055555555555555525,-0.05555555555555558,-0.1111111111111111,0.06557793217205188,-0.0665991483057371,-0.13217708047778898,0.044399648530996066,-0.03613762945934648,-0.08053727799034255,1.0,-1.0,-2.0,6.058087841108469,5.066167464542591,-0.9919203765658775,-1.0,1.0,2.0,False,True,True,-0.25156609983298783,-0.9919203765658775
5,浅划伤,13,False,False,True,0.8129070717549678,0.46153846153846156,0.5508103214970199,0.2982477994345617,6.0,1.3809174608934423,7.0,0.7476924103186426,0.46153846153846156,0.5244792592868633,0.3215800673399613,6.0,2.024690256576219,7.0,0.36299394946307084,0.5384615384615384,0.4536363901107526,0.2674119278778586,7.0,12.28406798613084,6.0,-0.06521466143632515,-0.44991312229189695,-0.3846984608555718,0.0,0.07692307692307687,0.07692307692307687,-0.026331062210156575,-0.09717393138626734,-0.07084286917611077,0.023332267905399606,-0.030835871556703087,-0.054168139462102693,0.0,1.0,1.0,0.6437727956827768,10.903150525237397,10.25937772955462,0.0,-1.0,-1.0,True,True,True,-0.44991312229189695,10.25937772955462
6,漏背锡,46,False,False,True,0.7207013035233835,0.5,0.686114128695902,0.33772492332418,23.0,8.913359789356555,23.0,0.7858412072234799,0.6382954819462305,0.7539635664876185,0.3778264477714221,29.361592169526606,8.001671425756793,16.638407830473394,0.6669391645148701,0.565928255256183,0.706745802336049,0.3442843661884841,26.032699741784416,13.000395219313777,19.967300258215584,0.06513990370009648,-0.05376213900851334,-0.11890204270860982,0.13829548194623054,0.06592825525618295,-0.07236722669004758,0.06784943779171648,0.020631673640146952,-0.04721776415156953,0.040101524447242076,0.006559442864304099,-0.03354208158293798,6.361592169526606,3.032699741784416,-3.32889242774219,-0.9116883635997617,4.087035429957222,4.998723793556984,-6.361592169526606,-3.032699741784416,3.32889242774219,True,False,False,-0.05376213900851334,4.998723793556984
7,碰伤,269,False,False,True,0.7835307360034848,0.5651414182166605,0.7226816045634137,0.4359481851933544,152.0230415002817,42.000031896555114,116.97695849971831,0.8277632601034045,0.5181200462576415,0.7223007415983771,0.453132678572041,139.37429244330556,29.000288987011704,129.62570755669444,0.7370653694068117,0.6394052044609665,0.7122080583685052,0.4420024606345086,172.0,61.35786368368541,97.0,0.044232524099919734,-0.04646536659667311,-0.09069789069659284,-0.04702137195901901,0.07426378624430596,0.12128515820332497,-0.000380862965036588,-0.010473546194908478,-0.01009268322987189,0.017184493378686605,0.006054275441154222,-0.011130217937532383,-12.64874905697613,19.976958499718307,32.62570755669444,-12.99974290954341,19.357831787130294,32.35757469667371,12.64874905697613,-19.976958499718307,-32.62570755669444,True,True,False,-0.04646536659667311,32.35757469667371
8,脏污,42,False,False,True,0.6317273971718765,0.5,0.5166676496298348,0.2821765064533168,21.0,12.242186572899971,21.0,0.5946050442796947,0.47619047619047616,0.5440495695924245,0.29595760302527674,20.0,13.6357725054755,22.0,0.6719666687383415,0.5366809574121628,0.5858767060807808,0.31424779470168274,22.54060021131084,11.003623423519432,19.45939978868916,-0.0371223528921818,0.04023927156646501,0.0773616244586468,-0.023809523809523836,0.03668095741216282,0.060490481221686654,0.02738191996258965,0.069209056450946,0.04182713648835634,0.013781096571959917,0.032071288248365915,0.018290191676405998,-1.0,1.5406002113108386,2.5406002113108386,1.3935859325755295,-1.2385631493805391,-2.6321490819560687,1.0,-1.5406002113108386,-2.5406002113108386,False,False,False,0.04023927156646501,-2.6321490819560687
9,轮廓划伤,84,False,True,False,0.8002780023791246,0.5714285714285714,0.7472426778079544,0.3947751899763988,48.0,11.97915706454771,36.0,0.8312578788730322,0.4692228790737507,0.7235053095186104,0.3934630955440136,39.41472184219506,8.001035462422726,44.58527815780494,0.7180930758685395,0.5952380952380952,0.749961761373799,0.3946353830135628,50.0,19.628856871408463,34.0,0.030979876493907543,-0.08218492651058507,-0.11316480300449261,-0.10220569235482069,0.023809523809523836,0.12601521616434452,-0.02373736828934403,0.0027190835658446044,0.026456451855188634,-0.0013120944323852246,-0.0001398069628359977,0.001172287469549227,-8.585278157804943,2.0,10.585278157804943,-3.9781216021249843,7.6496998068607525,11.627821408985737,8.585278157804943,-2.0,-10.585278157804943,True,False,False,-0.08218492651058507,11.627821408985737
