epoch,active_class_fixed,dominant_issue_fixed,fixed_candidate,fixed_action,fixed_op_list,fixed_prob_strength,fixed_roi_applied,fixed_industrial_augmented,active_class_weak,dominant_issue_weak,weak_candidate,weak_action,weak_op_list,weak_prob_strength,weak_roi_applied,weak_industrial_augmented,weak_attenuation_ratio,weak_replaced_fixed_original_policy,weak_added_policy_not_in_fixed,weak_original_candidate,weak_retained_op,weak_original_prob,weak_original_strength,weak_prob,weak_strength,precision_aware_gate_passed,non_active_regression_gate_passed,no_op_reason,replay_original_rejection_reasons,replay_ratio_0_25_rejection_reasons,target_high_fp_guard_overridden_by_weak_gate,notes
5,4;11,c4:low_recall; c11:texture_boundary_weak,fixed_catf_v2_roi_texture,accept,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:锡尖:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:锡尖:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","aggregate affected: c4=9, c11=22",aggregate run total=41,8,low_recall,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,no_prior_image_causal_evidence,,
10,,c4:low_recall,fixed_catf_v2_rollback_policy,rollback,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01",aggregate run total=45,aggregate run total=41,8,texture_boundary_weak,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,no_prior_image_causal_evidence,,
15,12,c4:low_recall; c12:weak_localization,fixed_catf_v2_roi_texture,accept,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate affected: c12=14,aggregate run total=41,12,texture_boundary_weak,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,no_prior_image_causal_evidence,,
20,,c4:low_recall; c12:weak_localization,fixed_catf_v2_shrink_policy,shrink,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,9,low_contrast_fn,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,no_prior_image_causal_evidence,,
25,,c4:low_recall; c12:weak_localization,fixed_catf_v2_shrink_policy,shrink,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,9,c9:causal_probe_accepted,candidate_policy_1b_weak_roi_texture,weak_roi_texture,c9:轮廓划伤:causal_probe_accepted:local_contrast@p=0.045/s=0.05,c9:轮廓划伤:causal_probe_accepted:local_contrast@p=0.045/s=0.05,18,16,0.25,True,True,candidate_policy_1_roi_texture,local_contrast,0.18,0.2,0.045,0.05,True,True,,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,,True,weak executes only class9 local_contrast at epoch25
30,,c4:low_recall; c12:weak_localization,fixed_catf_v2_observe_policy,observe,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,-1,,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,no_prior_image_causal_evidence,,
35,,c4:low_recall; c12:weak_localization,fixed_catf_v2_observe_policy,observe,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,-1,,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,no_prior_image_causal_evidence,,
40,,c4:low_recall; c12:weak_localization,fixed_catf_v2_freeze_policy,freeze,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,6,low_contrast_fn,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,no_prior_image_causal_evidence,,
45,,c4:low_recall; c12:weak_localization,fixed_catf_v2_freeze_policy,freeze,"c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:油污:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:锡膏:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",aggregate run total=45,aggregate run total=41,-1,,candidate_policy_0_noop,strict_noop,,,0,0,,True,False,candidate_policy_1_roi_texture,,,,,,False,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,no_prior_image_causal_evidence,,
