epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,12,accept,sharpen_mild,prob,0.0,0.01,low_recall,causal_probe_no_candidate_passed
5,12,accept,sharpen_mild,strength,0.0,0.015,low_recall,causal_probe_no_candidate_passed
5,12,accept,local_contrast,prob,0.0,0.01,low_recall,causal_probe_no_candidate_passed
5,12,accept,local_contrast,strength,0.0,0.015,low_recall,causal_probe_no_candidate_passed
5,8,accept,sharpen_mild,prob,0.0,0.005,low_recall_domain_prior,causal_probe_no_candidate_passed
5,8,accept,sharpen_mild,strength,0.0,0.01,low_recall_domain_prior,causal_probe_no_candidate_passed
5,8,accept,local_contrast,prob,0.0,0.005,low_recall_domain_prior,causal_probe_no_candidate_passed
5,8,accept,local_contrast,strength,0.0,0.01,low_recall_domain_prior,causal_probe_no_candidate_passed
