epoch,action,op,field,before,after,reason,delta_precision,delta_recall,delta_map50,delta_map50_95,guard_triggered,rollback_reason,frozen
5,rollback,,,,,,0.09999999999999998,-0.07129999999999997,-0.030299999999999994,-0.01421,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback",map50_drop_lt_0.015,False
10,rollback,,,,,,-0.08686000000000005,-0.015669999999999962,-0.020469999999999988,-0.01258999999999999,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback","precision_drop_lt_0.015,map50_drop_lt_0.015",True
15,rollback,,,,,,-0.10326000000000002,-0.011030000000000095,-0.005720000000000058,-0.0036399999999999766,"precision_guard,low_contrast_fn,recall_low,constraint_warning,rollback",precision_drop_lt_0.015,True
20,rollback,,,,,,-0.22553999999999996,0.08387,-0.0793299999999999,-0.05603999999999998,"precision_guard,map50_95_guard,low_contrast_fn,constraint_warning,rollback","precision_drop_lt_0.015,map50_drop_lt_0.015,map50_95_drop_lt_0.015",True
25,rollback,,,,,,-0.054300000000000015,-0.027780000000000027,-0.041140000000000065,-0.03484999999999999,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback","precision_drop_lt_0.015,map50_drop_lt_0.015,map50_95_drop_lt_0.015",True
30,rollback,,,,,,-0.023329999999999962,-0.0948,-0.02039000000000002,-0.016390000000000016,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback","precision_drop_lt_0.015,map50_drop_lt_0.015,map50_95_drop_lt_0.015",True
35,rollback,,,,,,-0.04642999999999997,0.05757000000000001,0.0016999999999999238,0.000260000000000038,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,True
40,rollback,,,,,,-0.07869999999999999,-0.05060000000000009,-0.05658999999999992,-0.04997999999999997,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback","precision_drop_lt_0.015,map50_drop_lt_0.015,map50_95_drop_lt_0.015",True
45,rollback,,,,,,0.07957000000000003,-0.09548999999999996,-0.05190000000000006,-0.07454999999999995,"precision_guard,map50_95_guard,low_contrast_fn,recall_low,constraint_warning,rollback","map50_drop_lt_0.015,map50_95_drop_lt_0.015",True
