epoch,class_id,action,adjustment_count,before_status,after_status,dominant_issue
5,11,propose,4,inactive,active,texture_boundary_weak
5,4,propose,4,inactive,active,low_recall
10,8,propose,4,inactive,active,texture_boundary_weak
15,12,propose,4,inactive,active,low_contrast_fn
25,12,propose,4,inactive,active,texture_boundary_weak
35,12,observe,0,inactive,inactive,weak_localization
35,8,observe,0,inactive,inactive,weak_localization
