epoch,op,field,before,after,reason
15,clahe,prob,0.04000000000000001,0.08000000000000002,low_contrast_fn_high_monitor_fp
15,clahe,strength,0.03499999999999999,0.06499999999999999,low_contrast_fn_high_monitor_fp
15,gamma,prob,0.04000000000000001,0.08000000000000002,low_contrast_fn_high_monitor_fp
15,gamma,strength,0.03499999999999999,0.06499999999999999,low_contrast_fn_high_monitor_fp
15,local_contrast,prob,0.2,0.24000000000000002,low_contrast_fn_high_monitor_fp
15,local_contrast,strength,0.15,0.18,low_contrast_fn_high_monitor_fp
15,sharpen_mild,prob,0.2,0.24000000000000002,low_contrast_fn_high_monitor_fp
15,sharpen_mild,strength,0.15,0.18,low_contrast_fn_high_monitor_fp
20,clahe,prob,0.08000000000000002,0.10000000000000002,recall_low_or_fn_high
20,clahe,strength,0.06499999999999999,0.07999999999999999,recall_low_or_fn_high
20,gamma,prob,0.08000000000000002,0.10000000000000002,recall_low_or_fn_high
20,gamma,strength,0.06499999999999999,0.07999999999999999,recall_low_or_fn_high
20,sharpen_mild,prob,0.24000000000000002,0.26,recall_low_or_fn_high
20,sharpen_mild,strength,0.18,0.195,recall_low_or_fn_high
20,local_contrast,prob,0.24000000000000002,0.26,recall_low_or_fn_high
20,local_contrast,strength,0.18,0.195,recall_low_or_fn_high
20,brightness,prob,0.0,0.015,recall_low_brightness_like
20,brightness,strength,0.0,0.01,recall_low_brightness_like
20,brightness,prob,0.015,0.0,precision_low_or_fp_high
20,brightness,strength,0.01,0.0,precision_low_or_fp_high
20,clahe,prob,0.10000000000000002,0.07000000000000002,precision_low_or_fp_high
20,clahe,strength,0.07999999999999999,0.059999999999999984,precision_low_or_fp_high
20,gamma,prob,0.10000000000000002,0.07000000000000002,precision_low_or_fp_high
20,gamma,strength,0.07999999999999999,0.059999999999999984,precision_low_or_fp_high
20,cutout_safe,prob,0.04999999999999999,0.07999999999999999,precision_low_hard_negative_like
20,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
20,sharpen_mild,prob,0.26,0.3,map50_high_map95_low
20,sharpen_mild,strength,0.195,0.225,map50_high_map95_low
20,local_contrast,prob,0.26,0.3,map50_high_map95_low
20,local_contrast,strength,0.195,0.225,map50_high_map95_low
20,cutout_safe,prob,0.07999999999999999,0.059999999999999984,map50_high_map95_low_reduce_cutout
20,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
20,clahe,prob,0.07000000000000002,0.09000000000000002,low_contrast_fn_high_monitor_fp
