epoch,action,op,field,before,after,reason,delta_precision,delta_recall,delta_map50,delta_map50_95,guard_triggered,rollback_reason,frozen
5,accept,clahe,prob,0.05,0.030000000000000002,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,clahe,strength,0.2,0.17,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,gamma,prob,0.05,0.030000000000000002,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,gamma,strength,0.2,0.17,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,brightness,prob,0.03,0.009999999999999998,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,brightness,strength,0.15,0.12,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,contrast,prob,0.03,0.009999999999999998,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,contrast,strength,0.15,0.12,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,cutout_safe,prob,0.03,0.009999999999999998,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
5,accept,cutout_safe,strength,0.1,0.07,precision_guard,0.04954000000000003,-0.006389999999999951,0.026550000000000018,0.002799999999999997,"precision_guard,low_contrast_fn",,False
10,accept,clahe,prob,0.030000000000000002,0.010000000000000002,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,clahe,strength,0.17,0.14,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,gamma,prob,0.030000000000000002,0.010000000000000002,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,gamma,strength,0.17,0.14,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,brightness,prob,0.009999999999999998,0.0,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,brightness,strength,0.12,0.09,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,contrast,prob,0.009999999999999998,0.0,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,contrast,strength,0.12,0.09,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,cutout_safe,prob,0.009999999999999998,0.0,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
10,accept,cutout_safe,strength,0.07,0.04000000000000001,precision_guard,0.061759999999999926,-0.05103000000000002,-0.006239999999999968,-0.00928000000000001,"precision_guard,low_contrast_fn,recall_low",,False
15,rollback,clahe,prob,0.010000000000000002,0.030000000000000002,catf_update,-0.04498000000000002,0.06691999999999998,-0.010210000000000052,-0.011679999999999968,"precision_guard,map50_95_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
