epoch,class_id,action,adjustment_count,before_status,after_status,dominant_issue
10,12,propose,4,inactive,active,texture_boundary_weak
10,6,propose,4,inactive,active,texture_boundary_weak
30,6,observe,0,inactive,inactive,texture_boundary_weak
30,12,observe,0,inactive,inactive,weak_localization
35,12,observe,0,inactive,inactive,weak_localization
