epoch,action,op,field,before,after,reason,delta_precision,delta_recall,delta_map50,delta_map50_95,guard_triggered,rollback_reason,frozen
5,accept,clahe,prob,0.05,0.030000000000000002,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,clahe,strength,0.2,0.17,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,gamma,prob,0.05,0.030000000000000002,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,gamma,strength,0.2,0.17,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,brightness,prob,0.03,0.009999999999999998,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,brightness,strength,0.15,0.12,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,contrast,prob,0.03,0.009999999999999998,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,contrast,strength,0.15,0.12,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,cutout_safe,prob,0.03,0.009999999999999998,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
5,accept,cutout_safe,strength,0.1,0.07,precision_guard,0.06957000000000002,0.0022600000000000398,0.06698000000000004,0.046520000000000034,"precision_guard,low_contrast_fn",,False
