epoch,fixed_active_classes,preserve_expected_active_classes,preserve_actual_active_classes,fixed_op_list,preserve_expected_op_list,preserve_actual_op_list,fixed_prob_strength,preserve_expected_prob_strength,preserve_actual_prob_strength,fixed_roi_applied,preserve_actual_roi_applied,fixed_industrial_augmented,preserve_actual_industrial_augmented,mismatch_reason
5,4;11,4;11,,"c4:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,"c4:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c11:local_contrast:0.015/0.02; c11:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 11]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
10,,4,11,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01","c11:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01,"c11:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),missing_expected_classes=[4]; unexpected_active_classes=[11]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy
15,12,4;12,,"c12:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,"c12:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
20,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
25,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
30,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
35,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
40,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
45,,4;12,,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,"total=45; by_class={'4': 9, '11': 22, '12': 14} (aggregate; per-feedback-epoch not recorded)",total=20; by_class={'11': 20} (aggregate; per-feedback-epoch not recorded),total=41 (aggregate; per-feedback-epoch not recorded),total=20 (aggregate; per-feedback-epoch not recorded),"missing_expected_classes=[4, 12]; preserve_branch_kept_runtime_controller_policy_instead_of_replay_fixed_policy"
