stage_index,scope,name,field,before,after,reason
2,custom_industrial_policy,gamma,prob,0.095,0.055,precision_low_or_fp_high
2,custom_industrial_policy,gamma,strength,0.08000000000000002,0.05000000000000002,precision_low_or_fp_high
2,custom_industrial_policy,local_contrast,prob,0.085,0.045000000000000005,precision_low_or_fp_high
2,custom_industrial_policy,local_contrast,strength,0.07,0.04000000000000001,precision_low_or_fp_high
2,official_yolo_aug,erasing,value,0.48,0.5,precision_low_hard_negative_like
2,custom_industrial_policy,cutout_safe,prob,0.08,0.12,precision_low_hard_negative_like
2,custom_industrial_policy,cutout_safe,strength,0.06,0.09,precision_low_hard_negative_like
2,official_yolo_aug,translate,value,0.1,0.08,map50_high_map95_low_reduce_geometry
2,official_yolo_aug,scale,value,0.55,0.5,map50_high_map95_low_reduce_geometry
2,official_yolo_aug,mosaic,value,0.9,0.8,map50_high_map95_low_reduce_mosaic
2,custom_industrial_policy,sharpen_mild,prob,0.22499999999999998,0.27499999999999997,map50_high_map95_low
2,custom_industrial_policy,sharpen_mild,strength,0.18,0.22,map50_high_map95_low
2,custom_industrial_policy,local_contrast,prob,0.045000000000000005,0.095,map50_high_map95_low
2,custom_industrial_policy,local_contrast,strength,0.04000000000000001,0.08000000000000002,map50_high_map95_low
2,custom_industrial_policy,clahe,prob,0.055,0.08,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,clahe,strength,0.05000000000000002,0.07000000000000002,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,gamma,prob,0.055,0.08,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,gamma,strength,0.05000000000000002,0.07000000000000002,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,local_contrast,prob,0.095,0.12,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,local_contrast,strength,0.08000000000000002,0.10000000000000002,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,sharpen_mild,prob,0.27499999999999997,0.3,low_contrast_fn_high_monitor_fp
2,custom_industrial_policy,sharpen_mild,strength,0.22,0.24,low_contrast_fn_high_monitor_fp
3,official_yolo_aug,hsv_v,value,0.34000000000000014,0.35500000000000015,recall_low_or_fn_high
3,official_yolo_aug,translate,value,0.08,0.085,recall_low_or_fn_high
3,official_yolo_aug,scale,value,0.5,0.525,recall_low_or_fn_high
3,custom_industrial_policy,clahe,prob,0.08,0.10500000000000001,recall_low_or_fn_high
3,custom_industrial_policy,clahe,strength,0.07000000000000002,0.09000000000000002,recall_low_or_fn_high
3,custom_industrial_policy,gamma,prob,0.08,0.10500000000000001,recall_low_or_fn_high
3,custom_industrial_policy,gamma,strength,0.07000000000000002,0.09000000000000002,recall_low_or_fn_high
