epoch,class_id,action,adjustment_count,before_status,after_status,dominant_issue
5,11,propose,4,inactive,active,texture_boundary_weak
5,4,propose,4,inactive,active,low_recall
10,11,propose,4,inactive,active,texture_boundary_weak
