key,label,precision,recall,map50,map50_95,d_precision,d_recall,d_map50,d_map50_95,constraints_passed
yolo_default,YOLO default,0.7131994837486653,0.7600146544998627,0.7758767738838886,0.5240624589214792,0.0,0.0,0.0,0.0,True
diagnosis_light,YOLO default + diagnosis_light,0.7342764740246326,0.6861761348940524,0.7555252251398363,0.4993358516140418,0.021076990275967322,-0.07383851960581034,-0.020351548744052317,-0.024726607307437365,False
diagnosis_precision_safe,YOLO default + diagnosis_precision_safe,0.6647234135205979,0.749293165993089,0.7556500710511661,0.5055154807166977,-0.048476070228067325,-0.01072148850677368,-0.020226702832722543,-0.01854697820478146,False
diagnosis_recall_safe,YOLO default + diagnosis_recall_safe,0.6712373020017045,0.7658751104672861,0.7410937344882793,0.5044177227621444,-0.04196218174696076,0.00586045596742335,-0.03478303939560934,-0.01964473615933482,False
custom_yolo_like_base_old,custom_yolo_like_base old control,0.666090717892226,0.7490366574120604,0.7129374998600813,0.4414700155135836,-0.047108765856439305,-0.010977997087802338,-0.06293927402380739,-0.08259244340789557,False
