epoch,fixed_active_classes,preserve_active_classes,fixed_policy_ids,preserve_policy_ids,fixed_ops,preserve_ops,fixed_prob_strength,preserve_prob_strength,fixed_policy_lifetime_start,fixed_policy_lifetime_end,preserve_policy_lifetime_start,preserve_policy_lifetime_end,fixed_router_eligible_images,preserve_router_eligible_images,fixed_router_draws,preserve_router_draws,fixed_industrial_augmented,preserve_industrial_augmented,fixed_roi_applied,preserve_roi_applied,industrial_delta,roi_delta,mismatch_reason
5,4;11,4;11,fixed_catf_v2_epoch_policy,preserve_original_epoch_policy,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c11:local_contrast:0.015/0.02; c11:sharpen_mild:0.015/0.02,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c11:local_contrast:0.015/0.02; c11:sharpen_mild:0.015/0.02,c4:5;c11:5,c4:5;c11:5,c4:5;c11:5,c4:45;c11:5,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,
10,,4,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01,,,c4:5,c4:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch
15,12,4;12,fixed_catf_v2_epoch_policy,preserve_original_epoch_policy,"c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02","c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,c12:15,c12:15,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch
20,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
25,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
30,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
35,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
40,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
45,,4;12,,preserve_original_epoch_policy,,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",,c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,,,c4:5;c12:15,c4:45;c12:45,not_recorded_per_epoch,not_recorded_per_epoch,not_recorded_per_epoch; run_total=3050,not_recorded_per_epoch; run_total=16910,not_recorded_per_epoch; run_total=41,not_recorded_per_epoch; run_total=155,not_recorded_per_epoch; run_total=45,not_recorded_per_epoch; run_total=187,114,142,active_classes_mismatch;ops_mismatch;preserve_carry_forward_after_fixed_empty_epoch
